Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
ABV,Consumer Non-Durables,Beverages (Production/Distribution),30.6,2.6,1.538,2.92,10.9,9.83,7.10B,3.13B,145.90B,35.44 - 47.17,"
</"
ABV.C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.26 - 46.23,"
</"
ABW-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.66 - 28.50,"
</"
ABX,Basic Industries,Precious Metals,9.52,2.1,3.354,2.35,1.27,2.25,6.83B,1.00B,32.22B,31.00 - 50.02,"
</"
ACC,Consumer Services,Real Estate Investment Trusts,75.72,2.74,0.615,2.18,2.01,10.98,206.50M,104.62M,4.91B,40.10 - 48.49,"
</"
ACCO,,,4.83,1.07,1.726,N/A,1.39,0.6,203.20M,113.11M,942.20M,0.00 - 0.00,"
</"
ACE,Finance,Property-Casualty Insurers,10.81,1.63,7.896,2.27,1.07,1.64,3.27B,343.70M,29.42B,68.98 - 85.72,"
</"
ACG,Finance,Closed-End Fund - Debt,9.73,N/A,0.838,11.89,0.89,17.08,N/A,242.89M,1.98B,8.06 - 8.83,"
</"
ACH,Basic Industries,Aluminum,N/A,N/A,N/A,N/A,0.85,0.28,474.60M,541.09M,6.56B,9.22 - 13.88,"
</"
ACI,Energy,Coal Mining,N/A,N/A,N/A,2.81,0.48,0.34,1.21B,212.34M,1.50B,5.16 - 15.94,"
</"
ACM,Consumer Services,Military/Government/Technical,N/A,0.78,N/A,N/A,1.26,0.34,437.70M,108.06M,2.77B,14.50 - 25.84,"
</"
ACMP,,,25.07,2.38,1.455,3.45,2.25,8.58,389.30M,148.01M,5.50B,0.00 - 0.00,"
</"
ACN,Miscellaneous,Business Services,19.93,1.51,3.607,2.07,10.23,1.65,4.27B,644.34M,47.55B,54.94 - 72.87,"
</"
ACO,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),14.48,1.11,2.04,2.57,2.05,0.96,143.70M,32.10M,989.30M,26.56 - 36.28,"
</"
ACP,Finance,Property Management,N/A,N/A,N/A,7.55,N/A,N/A,N/A,N/A,N/A,15.82 - 19.17,"
</"
ACRE,,,25.15,44.83,0.688,2.14,0.96,9.92,N/A,9.20M,160.50M,0.00 - 0.00,"
</"
ACT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ACTV,,,N/A,N/A,N/A,N/A,0.98,0.83,9.40M,60.57M,352.50M,4.60 - 17.74,"
</"
ACW,Capital Goods,Auto Parts:O.E.M.,N/A,N/A,N/A,N/A,0.75,0.18,68.30M,47.39M,177.70M,2.21 - 9.14,"
</"
ADC,Consumer Services,Real Estate Investment Trusts,18.31,0.66,1.549,5.64,1.63,8.16,27.50M,11.19M,316.00M,20.61 - 28.93,"
</"
ADM,Consumer Non-Durables,Packaged Foods,19.98,N/A,1.428,2.45,1.03,0.21,2.69B,658.56M,18.88B,24.38 - 33.98,"
</"
ADS,Miscellaneous,Business Services,24.35,1.02,6.473,N/A,16,2.23,1.07B,49.86M,7.82B,113.61 - 159.05,"
</"
ADT,,,28.44,2.4,1.67,0.53,2.13,3.42,1.33B,232.46M,11.06B,0.00 - 0.00,"
</"
ADX,Finance,Closed-End Fund - Debt,64.09,N/A,0.176,5.94,0.91,47.59,N/A,91.07M,1.04B,9.95 - 11.57,"
</"
ADY,Consumer Non-Durables,Packaged Foods,12.35,1.08,0.54,N/A,0.66,0.47,25.90M,19.78M,137.10M,2.90 - 9.30,"
</"
AEB,Finance,Life Insurance,36.77,N/A,0.669,4.16,1.23,0.78,4.19B,1.92B,47.11B,17.38 - 24.98,"
</"
AEC,Consumer Services,Real Estate Investment Trusts,33.3,1.61,0.485,4.52,1.97,4.47,86.50M,49.49M,809.20M,14.24 - 17.51,"
</"
AED,Finance,Life Insurance,37.59,N/A,0.669,6.46,1.26,0.8,4.19B,1.92B,48.53B,20.61 - 25.38,"
</"
AEE,Public Utilities,Power Generation,38.03,N/A,0.853,4.93,1,1.17,2.22B,242.63M,7.93B,28.43 - 35.30,"
</"
AEF,Finance,Life Insurance,38.07,N/A,0.669,7.11,1.28,0.81,4.19B,1.92B,49.03B,22.62 - 25.77,"
</"
AEG,Finance,Life Insurance,9.91,0.42,0.669,3.85,0.33,0.21,4.19B,1.92B,12.90B,3.93 - 6.77,"
</"
AEH,Finance,Life Insurance,N/A,N/A,N/A,6.08,N/A,N/A,N/A,N/A,N/A,20.83 - 26.58,"
</"
AEK,,,41.75,N/A,0.669,7.46,1.4,0.89,4.19B,1.92B,53.65B,24.58 - 29.12,"
</"
AEL,Finance,Life Insurance,12.28,1.05,1.098,1.11,0.48,0.48,189.20M,61.26M,828.80M,10.00 - 13.80,"
</"
AEM,Basic Industries,Precious Metals,N/A,2.5,N/A,1.75,2.32,4.09,720.20M,171.57M,7.94B,31.42 - 57.35,"
</"
AEO,Consumer Services,Clothing/Shoe/Accessory Stores,21.14,1.06,0.956,10.14,3.12,1.17,471.60M,198.02M,4.00B,13.43 - 23.94,"
</"
AEP,Public Utilities,Electric Utilities: Central,14.21,4.29,3.188,4.15,1.44,1.49,4.69B,485.26M,21.95B,36.97 - 45.41,"
</"
AER,Technology,Diversified Commercial Services,8.73,0.85,1.673,N/A,0.8,1.7,531.60M,121.40M,1.81B,10.51 - 14.75,"
</"
AES,Basic Industries,Electric Utilities: Central,N/A,1.18,N/A,0.74,1.82,0.45,5.02B,743.98M,8.22B,9.52 - 14.01,"
</"
AES-C,Basic Industries,Electric Utilities: Central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.95 - 50.98,"
</"
AET,Health Care,Hospital And Medical Service Plans,9.22,1.07,5.23,1.5,1.48,0.46,3.61B,334.51M,16.22B,34.58 - 51.14,"
</"
AEV,Finance,Life Insurance,37.71,N/A,0.669,6.82,1.27,0.8,4.19B,1.92B,48.57B,21.52 - 25.76,"
</"
AF,Finance,Savings Institutions,17.71,3.86,0.55,2.57,0.72,2.45,N/A,95.91M,946.60M,8.03 - 11.08,"
</"
AFA,,,4.63,N/A,5.607,1.4,0.49,0.48,919.00M,90.25M,2.35B,0.00 - 0.00,"
</"
AFB,Finance,Closed-End Fund - Debt,6.75,N/A,2.377,5.34,1.08,13.57,N/A,28.71M,458.50M,13.94 - 16.91,"
</"
AFC,,Property & Casualty Insurance,N/A,N/A,N/A,6.83,N/A,N/A,N/A,N/A,N/A,23.07 - 25.34,"
</"
AFF,Finance,Property-Casualty Insurers,1.74,N/A,14.526,6.38,0.37,0.53,24.79B,1.48B,37.32B,22.23 - 25.43,"
</"
AFG,Finance,Property-Casualty Insurers,7.59,1.65,5.607,2.33,0.81,0.79,919.00M,90.23M,3.87B,36.28 - 43.16,"
</"
AFL,Finance,Accident &Health Insurance,8.74,1.24,6.072,2.53,1.56,1,4.42B,468.90M,24.88B,38.14 - 54.93,"
</"
AFM,,,7.74,N/A,3.28,1.35,0.64,0.73,614.50M,52.09M,1.32B,0.00 - 0.00,"
</"
AFQ,Finance,Property-Casualty Insurers,4.74,N/A,5.607,6.6,0.5,0.49,919.00M,90.23M,2.40B,25.48 - 28.36,"
</"
AFSD,,,4.2,N/A,6.072,1.18,0.75,0.48,4.42B,468.89M,12.03B,0.00 - 0.00,"
</"
AFT,,,N/A,N/A,N/A,7.18,N/A,N/A,N/A,N/A,N/A,17.23 - 20.09,"
</"
AFW,,,4.75,N/A,5.607,2.99,0.51,0.49,919.00M,90.24M,2.40B,0.00 - 0.00,"
</"
AG,Industrial Goods,Farm & Construction Machinery,23.06,1.08,0.791,N/A,3.74,8.93,138.10M,116.04M,2.13B,12.12 - 24.20,"
</"
AGC,,,N/A,N/A,N/A,8.06,N/A,N/A,N/A,N/A,N/A,6.06 - 7.04,"
</"
AGCO,Capital Goods,Industrial Machinery/Components,7.41,0.93,7.15,N/A,1.54,0.53,971.50M,96.99M,5.13B,38.09 - 54.42,"
</"
AGD,,,N/A,N/A,N/A,15.58,0.88,4.37,N/A,25.15M,122.50M,4.74 - 6.34,"
</"
AGM,Finance,Finance Companies,7.92,N/A,4.332,1.17,1.2,3.37,N/A,10.51M,365.50M,19.50 - 34.92,"
</"
AGM-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AGM.A,Finance,Finance Companies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.01 - 28.88,"
</"
AGN,Consumer Durables,Major Pharmaceuticals,30.7,1.93,3.421,0.19,5.66,5.54,1.76B,300.50M,32.11B,81.28 - 107.69,"
</"
AGO,Finance,Property-Casualty Insurers,N/A,0.56,N/A,1.99,0.71,4.42,N/A,194.00M,3.55B,11.17 - 19.04,"
</"
AGO-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.80 - 25.84,"
</"
AGO-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.80 - 25.39,"
</"
AGO-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.41 - 25.08,"
</"
AGRO,Consumer Non-Durables,Farming/Seeds/Milling,N/A,21.47,N/A,N/A,1.03,1.77,48.70M,121.97M,1.07B,8.00 - 11.30,"
</"
AGU,Basic Industries,Agricultural Chemicals,13.51,1.62,8.402,0.88,2.37,1.02,2.60B,149.00M,16.89B,74.28 - 115.31,"
</"
AH,Consumer Services,Other Consumer Services,75.94,1.91,0.17,N/A,4.93,1.31,28.70M,98.53M,1.27B,7.75 - 28.38,"
</"
AHC,Consumer Services,Newspapers/Magazines,188.57,N/A,0.028,10.23,1,0.26,43.10M,21.99M,117.40M,3.60 - 6.49,"
</"
AHL,Finance,Property-Casualty Insurers,9.31,0.96,3.662,1.93,0.68,1.11,322.30M,71.00M,2.45B,26.46 - 34.35,"
</"
AHL-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.76 - 27.19,"
</"
AHL-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AHL.P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.19 - 63.12,"
</"
AHS,Health Care,Hospital/Nursing Management,71.89,2.12,0.169,N/A,3.32,0.58,63.80M,44.39M,546.40M,4.85 - 12.72,"
</"
AHT,Consumer Services,Real Estate Investment Trusts,N/A,0.78,N/A,3.8,0.9,0.86,214.80M,68.16M,790.00M,7.33 - 11.83,"
</"
AHT-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.30 - 25.89,"
</"
AHT-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.91 - 25.95,"
</"
AHT-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.14 - 27.50,"
</"
AI,Finance,Finance/Investors Services,8.99,N/A,2.6,14.98,1.03,7.43,N/A,13.16M,311.00M,17.84 - 25.49,"
</"
AIB,Finance,Commercial Banks,N/A,N/A,N/A,1.79,N/A,N/A,N/A,N/A,N/A,0.69 - 10.85,"
</"
AIG,Finance,Property-Casualty Insurers,2.6,0.46,14.526,N/A,0.55,0.79,24.79B,1.48B,57.37B,26.24 - 38.05,"
</"
AIG.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.35 - 15.55,"
</"
AIN,Basic Industries,Textiles,50.52,1.99,0.496,2.19,1.59,1,144.10M,31.44M,794.10M,14.74 - 26.22,"
</"
AIQ,Health Care,Medical Specialities,N/A,N/A,N/A,N/A,N/A,0.14,152.70M,10.30M,69.00M,0.72 - 7.00,"
</"
AIR,Capital Goods,Aerospace,11,1.14,1.713,1.59,0.8,0.33,228.10M,38.20M,728.50M,10.00 - 23.67,"
</"
AIT,Consumer Durables,Industrial Specialties,16.71,1.14,2.63,1.91,2.63,0.77,197.10M,42.05M,1.89B,34.44 - 44.86,"
</"
AIV,Consumer Services,Real Estate Investment Trusts,N/A,1.63,N/A,2.79,4.92,3.57,592.60M,145.53M,3.99B,24.05 - 28.30,"
</"
AIV-Z,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.16 - 29.30,"
</"
AIZ,Finance,Accident &Health Insurance,5.42,0.84,7.056,2.12,0.58,0.36,1.17B,78.72M,3.07B,32.41 - 44.54,"
</"
AJG,Finance,Specialty Insurers,23.24,1.16,1.59,3.68,2.77,1.82,425.40M,124.39M,4.65B,33.75 - 38.24,"
</"
AKO.A,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.43 - 33.16,"
</"
AKO.B,Consumer Non-Durables,Beverages (Production/Distribution),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.67 - 39.94,"
</"
AKP,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,5.31,N/A,N/A,N/A,N/A,N/A,13.91 - 17.24,"
</"
AKR,Consumer Services,Real Estate Investment Trusts,44.23,2.73,0.591,2.75,2.57,8.01,88.20M,50.69M,1.33B,21.11 - 26.55,"
</"
AKS,Basic Industries,Steel/Iron Ore,N/A,2.09,N/A,2.5,N/A,0.09,80.90M,135.94M,556.00M,3.42 - 9.25,"
</"
AL,Technology,Diversified Commercial Services,20.9,0.44,1.142,N/A,1.06,4.21,N/A,101.23M,2.47B,18.45 - 26.47,"
</"
ALB,Basic Industries,Major Chemicals,17.67,1.52,3.47,1.3,2.98,1.99,608.80M,89.02M,5.50B,50.88 - 68.51,"
</"
ALC,Health Care,Hospital/Nursing Management,N/A,2.46,N/A,2.04,0.81,0.99,53.40M,23.19M,232.10M,6.93 - 20.33,"
</"
ALDW,,,4.63,N/A,5.026,N/A,9.47,0.41,399.00M,62.49M,1.47B,0.00 - 0.00,"
</"
ALE,Public Utilities,Power Generation,19.53,2.98,2.363,3.99,1.5,1.84,239.20M,37.70M,1.75B,37.73 - 46.26,"
</"
ALEX,Consumer Services,Marine Transportation,165.52,7.52,0.203,81.64,1.59,4.89,77.80M,42.87M,1.44B,23.50 - 53.71,"
</"
ALG,Capital Goods,Industrial Machinery/Components,12.72,1.32,2.67,0.74,1.33,0.65,54.40M,11.97M,411.60M,25.51 - 35.18,"
</"
ALJ,Energy,Integrated oil Companies,28.07,0.62,0.699,0.82,2.87,0.15,287.90M,60.57M,1.25B,7.52 - 19.63,"
</"
ALK,Transportation,Air Freight/Delivery Services,10.48,0.3,4.4,N/A,2.28,0.7,830.50M,70.37M,3.28B,31.29 - 47.83,"
</"
ALL,Finance,Property-Casualty Insurers,8.39,1.32,5.232,2,1.02,0.64,4.56B,481.78M,21.60B,30.33 - 44.50,"
</"
ALL-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.01 - 27.25,"
</"
ALL-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.00 - 27.30,"
</"
ALP-N,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.19 - 26.43,"
</"
ALP-O,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.10 - 30.69,"
</"
ALP-P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.36 - 27.03,"
</"
ALR,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,1.53,N/A,N/A,1.06,0.63,607.40M,80.88M,1.73B,17.13 - 27.22,"
</"
ALR-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,182.87 - 245.35,"
</"
ALSN,,,7.61,0.45,2.928,0.81,3.07,1.87,705.80M,182.67M,4.13B,0.00 - 0.00,"
</"
ALU,Public Utilities,Telecommunications Equipment,3.36,0.34,0.494,N/A,0.87,0.2,907.60M,2.27B,3.95B,0.91 - 2.66,"
</"
ALV,Capital Goods,Auto Parts:O.E.M.,12.36,13.31,5.324,2.87,1.7,0.76,1.09B,95.46M,6.34B,51.31 - 69.61,"
</"
ALX,Consumer Services,Real Estate Investment Trusts,21.84,N/A,15.242,40.86,4.74,6.58,163.90M,5.10M,1.68B,317.01 - 474.75,"
</"
AM,Consumer Services,Consumer: Greeting Cards,N/A,2.01,N/A,3.75,0.79,0.29,151.10M,31.63M,507.10M,12.53 - 17.49,"
</"
AMBO,Consumer Services,Other Consumer Services,N/A,0.2,N/A,N/A,0.32,0.48,41.40M,72.39M,127.40M,1.78 - 8.15,"
</"
AMD,Technology,Semiconductors,N/A,N/A,N/A,N/A,3.61,0.36,N/A,746.92M,1.94B,1.81 - 8.35,"
</"
AME,Consumer Durables,Metal Fabrications,21.8,1.33,1.88,0.54,3.92,2.98,849.70M,242.56M,10.06B,29.86 - 41.55,"
</"
AMG,Finance,Investment Managers,43.88,1.15,3.28,N/A,3.63,4.15,614.50M,52.10M,7.53B,94.32 - 147.09,"
</"
AMID,,,1142.67,N/A,0.015,7.58,1.76,0.77,24.70M,9.29M,157.90M,13.11 - 23.17,"
</"
AMP,Finance,Investment Managers,13.37,0.69,4.961,2.16,1.5,1.33,2.61B,205.82M,13.82B,45.17 - 67.44,"
</"
AMP-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.12 - 29.94,"
</"
AMRC,Basic Industries,Engineering & Construction,20.29,1.27,0.485,N/A,1.71,0.67,54.90M,45.08M,420.60M,8.29 - 14.73,"
</"
AMRE,,,45.69,N/A,0.385,2.27,1.69,6.9,23.70M,16.12M,280.50M,0.00 - 0.00,"
</"
AMT,Consumer Services,Telecommunications Equipment,43,2.2,1.771,1.18,8.46,10.9,1.76B,395.36M,30.30B,61.27 - 79.98,"
</"
AMT-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AMTD,,,18.29,1.38,1.06,4.13,2.47,4.05,N/A,546.01M,10.75B,0.00 - 0.00,"
</"
AMTG,,,21.73,N/A,1.042,15.02,0.79,23.78,N/A,24.19M,557.00M,17.20 - 23.59,"
</"
AMX,Public Utilities,Telecommunications Equipment,13.53,0.86,1.86,1.2,4.18,1.73,19.88B,3.80B,97.43B,22.61 - 28.47,"
</"
AN,Consumer Durables,Automotive Aftermarket,20.83,0.82,2.328,N/A,3.6,0.39,707.80M,121.75M,5.79B,31.57 - 48.56,"
</"
ANF,Consumer Services,Clothing/Shoe/Accessory Stores,38.7,0.93,1.292,1.4,2.39,0.91,506.80M,79.56M,4.06B,28.64 - 54.10,"
</"
ANFI,,,5.62,N/A,1.225,N/A,1.75,0.68,43.40M,35.70M,241.70M,0.00 - 0.00,"
</"
ANH,Consumer Services,Real Estate Investment Trusts,8.68,1.9,0.721,11.02,0.84,7.44,N/A,142.72M,892.00M,5.41 - 7.08,"
</"
ANH-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.11 - 27.90,"
</"
ANH-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.40 - 26.25,"
</"
ANN,Consumer Services,Clothing/Shoe/Accessory Stores,14.94,1.19,2.064,N/A,3.28,0.63,267.00M,47.72M,1.47B,22.30 - 39.78,"
</"
ANR,Energy,Coal Mining,N/A,N/A,N/A,N/A,0.38,0.27,970.20M,220.39M,1.92B,5.28 - 23.68,"
</"
ANW,Energy,Oil Refining/Marketing,13.6,0.4,0.497,0.59,0.63,0.04,89.60M,46.58M,314.90M,4.28 - 7.93,"
</"
AOD,,,N/A,N/A,N/A,16.42,N/A,N/A,N/A,N/A,N/A,3.71 - 4.84,"
</"
AOI,Consumer Services,Farming/Seeds/Milling,16.68,N/A,0.217,N/A,1,0.14,158.40M,87.65M,317.30M,2.62 - 3.92,"
</"
AOL,Technology,EDP Services,2.88,0.1,10.632,16.8,1.33,1.18,447.80M,83.68M,2.57B,16.80 - 43.93,"
</"
AON,Finance,Specialty Insurers,20.06,1.57,2.879,1.09,2.22,1.62,2.27B,318.67M,17.89B,45.04 - 58.43,"
</"
AOS,Consumer Durables,Metal Fabrications,20.34,1.01,3.406,1.1,2.7,1.66,256.10M,46.59M,3.26B,42.06 - 70.95,"
</"
AP,Capital Goods,Fluid Controls,28.34,N/A,0.65,3.91,0.96,0.63,28.70M,10.34M,195.50M,15.20 - 23.79,"
</"
APA,Energy,Oil & Gas Production,13.34,1.32,6.278,0.81,1.11,1.95,12.45B,391.28M,33.40B,74.50 - 112.09,"
</"
APA-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.51 - 61.96,"
</"
APB,Finance,Closed-End Fund - Foreign,7.31,N/A,1.507,N/A,0.96,46.52,N/A,10.34M,114.60M,8.97 - 11.20,"
</"
APC,Energy,Oil & Gas Production,22.04,1.38,3.63,0.45,1.96,2.98,7.38B,499.75M,40.57B,56.42 - 88.70,"
</"
APD,Basic Industries,Major Chemicals,15.65,1.7,5.586,2.93,2.88,1.84,2.38B,207.62M,18.42B,76.11 - 92.79,"
</"
APF,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.65,N/A,N/A,N/A,N/A,N/A,12.46 - 15.68,"
</"
APH,Capital Goods,Electrical Products,19.93,1.31,3.39,0.62,4.46,2.52,952.10M,160.38M,10.98B,50.89 - 69.23,"
</"
APL,Public Utilities,Natural Gas Distribution,32.99,N/A,1.047,4.89,1.52,1.56,172.90M,53.76M,1.83B,27.32 - 38.00,"
</"
APO,Finance,Investment Managers,22.61,0.44,0.985,6.06,1.11,1.25,N/A,130.04M,2.96B,10.42 - 22.60,"
</"
APU,Consumer Services,Other Specialty Stores,N/A,1.53,N/A,7.31,2.84,1.38,341.80M,92.81M,4.10B,37.00 - 46.46,"
</"
ARB,Consumer Services,Diversified Commercial Services,22.13,1.6,2.119,0.85,9.84,2.76,123.20M,26.17M,1.23B,32.34 - 47.20,"
</"
ARC,Consumer Services,Professional Services,N/A,N/A,N/A,N/A,1.01,0.27,63.20M,46.27M,116.60M,2.19 - 6.99,"
</"
ARCO,Consumer Services,Restaurants,N/A,1.61,N/A,1.75,N/A,N/A,N/A,N/A,N/A,10.53 - 22.99,"
</"
ARDC,,,N/A,N/A,N/A,0.61,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARE,Consumer Services,Real Estate Investment Trusts,60.82,2.51,1.192,2.88,1.49,7.74,369.90M,63.69M,4.64B,64.09 - 77.10,"
</"
ARE-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARG,Capital Goods,Industrial Machinery/Components,21.89,1.65,4.35,1.6,4.01,1.49,888.30M,77.41M,7.47B,75.78 - 95.90,"
</"
ARH-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARI,Consumer Services,Real Estate Investment Trusts,9.59,N/A,1.82,9.16,0.86,7.41,N/A,20.99M,369.20M,14.75 - 18.27,"
</"
ARI-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARK,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.6,N/A,N/A,N/A,N/A,N/A,3.80 - 4.55,"
</"
ARL,Finance,Real Estate,N/A,N/A,N/A,N/A,0.61,0.25,36.30M,11.29M,31.40M,1.26 - 3.96,"
</"
ARN,,,N/A,N/A,N/A,6.78,N/A,N/A,N/A,N/A,N/A,24.90 - 27.27,"
</"
ARO,Consumer Services,Clothing/Shoe/Accessory Stores,17.78,1.82,0.761,N/A,2.59,0.44,179.00M,78.30M,1.06B,11.76 - 23.05,"
</"
ARP,Consumer Services,Business Services,N/A,N/A,N/A,4.06,1.4,4.39,69.60M,39.91M,923.90M,6.00 - 11.31,"
</"
ARR,Consumer Services,Real Estate Investment Trusts,9.35,0.64,0.768,16.3,0.92,14.76,N/A,308.98M,2.20B,5.70 - 7.98,"
</"
ARR-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARSD,,,14.3,N/A,0.553,N/A,2.48,0.81,24.80M,24.11M,192.40M,0.00 - 0.00,"
</"
ART,Finance,Investment Managers,N/A,0.72,N/A,6.09,0.82,0.76,10.20M,60.00M,118.20M,1.72 - 5.26,"
</"
ARU,,,N/A,N/A,N/A,1.57,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ARW,Consumer Non-Durables,Electronic Components,8.53,5.53,4.502,N/A,1.08,0.2,936.10M,105.97M,4.19B,30.84 - 43.02,"
</"
ARX,Technology,Semiconductors,N/A,1.75,N/A,N/A,1.86,0.9,114.40M,84.85M,634.70M,5.00 - 13.70,"
</"
ARY,,,N/A,N/A,N/A,7.15,N/A,N/A,N/A,N/A,N/A,25.05 - 27.25,"
</"
ASA,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,1.81,0.89,62.31,N/A,19.29M,406.40M,20.60 - 29.32,"
</"
ASG,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,7.98,N/A,N/A,N/A,N/A,N/A,3.65 - 4.43,"
</"
ASGN,,,27.66,1.17,0.884,N/A,2.49,1.28,102.70M,52.53M,1.31B,0.00 - 0.00,"
</"
ASH,Consumer Durables,Specialty Chemicals,95.51,0.81,0.822,1.08,1.51,0.77,823.00M,80.01M,6.32B,58.54 - 86.96,"
</"
