Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
ACHN,Consumer Durables,Major Pharmaceuticals,N/A,11.04,N/A,N/A,8.74,279.91,N/A,79.52M,730.80M,5.42 - 12.07,"
</"
ACIW,Technology,Computer Software: Prepackaged Software,76.55,2.33,0.621,N/A,3.92,3.24,110.10M,39.37M,1.89B,31.98 - 47.73,"
</"
ACLS,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.73,0.66,N/A,107.90M,148.90M,0.71 - 1.90,"
</"
ACNB,Finance,Major Banks,11.5,N/A,1.416,4.67,0.95,2.37,N/A,5.96M,97.40M,14.00 - 17.00,"
</"
ACOR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),33.62,2.09,0.859,N/A,4.65,3.91,42.10M,40.16M,1.16B,21.04 - 29.79,"
</"
ACPW,Public Utilities,Electric Utilities: Central,N/A,N/A,N/A,N/A,3.09,1.01,N/A,19.09M,79.60M,0.58 - 4.40,"
</"
ACRX,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,90.55,N/A,22.65M,120.50M,2.27 - 5.83,"
</"
ACST,,,N/A,N/A,N/A,N/A,16.77,270.85,N/A,72.82M,188.60M,0.00 - 0.00,"
</"
ACTG,Miscellaneous,Multi-Sector Companies,26.13,0.55,0.977,N/A,2.06,6.19,88.10M,49.77M,1.32B,19.86 - 44.98,"
</"
ACTS,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.49,2.52,N/A,68.38M,139.50M,1.46 - 2.16,"
</"
ACUR,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,2.84,N/A,N/A,45.89M,88.10M,1.06 - 4.50,"
</"
ACWI,,,N/A,N/A,N/A,2.16,N/A,N/A,N/A,N/A,N/A,41.06 - 50.24,"
</"
ACWX,,,N/A,N/A,N/A,1.61,N/A,N/A,N/A,N/A,N/A,34.76 - 43.41,"
</"
ACXM,Technology,EDP Services,12.33,1.62,1.438,N/A,2.22,1.22,223.30M,76.45M,1.40B,12.66 - 19.02,"
</"
ADAT,Technology,EDP Services,N/A,N/A,N/A,N/A,5.68,5.39,N/A,27.10M,18.70M,0.55 - 1.64,"
</"
ADBE,Technology,Computer Software: Prepackaged Software,22.79,2.52,1.66,N/A,2.81,4.25,1.47B,494.91M,18.98B,29.52 - 38.78,"
</"
ADEP,Technology,Industrial Machinery/Components,N/A,N/A,N/A,N/A,2.55,0.68,N/A,10.75M,40.30M,2.38 - 6.49,"
</"
ADES,Basic Industries,Major Chemicals,24.58,N/A,0.965,N/A,N/A,1.4,1.40M,10.02M,245.60M,13.88 - 29.83,"
</"
ADI,Technology,Semiconductors,20.49,6.28,2.13,2.75,3.16,4.87,942.60M,301.39M,13.46B,34.25 - 44.33,"
</"
ADNC,Technology,Semiconductor - Integrated Circuits,21.44,N/A,0.57,N/A,1.78,2.02,8.40M,20.35M,286.90M,0.00 - 0.00,"
</"
ADP,Technology,EDP Services,20.94,2.21,2.832,2.73,4.56,2.66,2.36B,485.47M,29.44B,50.89 - 60.34,"
</"
ADRA,,,N/A,N/A,N/A,1.61,N/A,N/A,N/A,N/A,N/A,21.62 - 27.43,"
</"
ADRD,,,N/A,N/A,N/A,3.24,N/A,N/A,N/A,N/A,N/A,17.28 - 22.33,"
</"
ADRE,,,N/A,N/A,N/A,2.42,N/A,N/A,N/A,N/A,N/A,35.00 - 44.48,"
</"
ADRU,,,N/A,N/A,N/A,3.27,N/A,N/A,N/A,N/A,N/A,17.05 - 22.05,"
</"
ADSK,Technology,Computer Software: Prepackaged Software,36.68,1.18,1.06,N/A,4.33,3.8,473.20M,224.70M,8.75B,27.70 - 42.69,"
</"
ADTN,Public Utilities,Telecommunications Equipment,27.3,3.05,0.74,1.34,1.82,2.04,70.20M,62.56M,1.27B,15.38 - 38.95,"
</"
ADUS,Health Care,Medical/Nursing Services,13.96,0.93,0.593,N/A,0.98,0.32,12.90M,10.76M,86.70M,3.38 - 9.05,"
</"
ADVS,Technology,EDP Services,45.23,1.64,0.545,N/A,4.28,3.5,70.10M,50.20M,1.24B,20.85 - 28.30,"
</"
AEGN,Industrial Goods,Heavy Construction,17.82,0.82,1.32,N/A,1.33,0.9,112.30M,38.57M,911.40M,14.49 - 23.97,"
</"
AEGR,Consumer Durables,Major Pharmaceuticals,N/A,0.18,N/A,N/A,9.21,N/A,N/A,25.48M,709.00M,11.75 - 28.96,"
</"
AEHR,Capital Goods,Electrical Products,N/A,N/A,N/A,N/A,1.42,0.48,N/A,9.35M,8.60M,0.66 - 1.65,"
</"
AEIS,Capital Goods,Industrial Machinery/Components,47.97,2.25,0.32,N/A,1.54,1.29,45.50M,37.88M,592.40M,10.47 - 15.50,"
</"
AEPI,Capital Goods,Specialty Chemicals,15.48,N/A,4.16,N/A,4.83,0.31,79.40M,5.53M,360.10M,31.86 - 65.81,"
</"
AERL,Consumer Services,Services-Misc. Amusement & Recreation,2.61,N/A,1.81,6.64,0.95,0.8,68.70M,42.19M,196.60M,2.40 - 7.24,"
</"
AETI,Capital Goods,Building Products,N/A,N/A,N/A,N/A,1.93,0.74,1.30M,7.92M,39.60M,3.58 - 5.21,"
</"
AEY,Consumer Services,Office Equipment/Supplies/Services,17.75,N/A,0.12,N/A,0.57,0.62,3.50M,10.19M,21.40M,1.87 - 2.55,"
</"
AEZS,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,1.97,N/A,25.33M,73.20M,0.38 - 3.55,"
</"
AFAM,Health Care,Medical/Nursing Services,9.91,0.87,2.02,9.99,0.85,0.53,33.50M,9.33M,186.10M,17.87 - 26.87,"
</"
AFCB,Finance,Savings Institutions,16.03,N/A,1.123,1.11,0.9,2.76,N/A,2.42M,42.90M,12.27 - 19.35,"
</"
AFCE,Consumer Services,Restaurants,25.97,1.56,1.119,N/A,25.95,4.16,51.20M,24.02M,700.90M,15.33 - 29.33,"
</"
AFFX,Capital Goods,Biotechnology: Laboratory Analytical Instruments,N/A,2.88,N/A,N/A,0.94,0.97,13.40M,70.69M,271.45M,2.96 - 5.50,"
</"
AFFY,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,10.59,8.4,N/A,37.17M,688.30M,9.71 - 27.74,"
</"
AFOP,Technology,Semiconductors,10.79,0.41,1.08,10.73,1.7,2.18,7.30M,8.74M,107.30M,7.76 - 12.38,"
</"
AFSI,Finance,Property-Casualty Insurers,14.22,0.99,2.338,1.09,2.08,1.28,264.00M,66.93M,2.26B,23.90 - 33.93,"
</"
AGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,N/A,7.21,N/A,24.59M,112.60M,2.76 - 7.41,"
</"
AGII,Finance,Specialty Insurers,16.37,2.75,2.205,N/A,0.59,0.7,157.30M,25.12M,927.60M,27.42 - 37.60,"
</"
AGIIL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
AGNC,Consumer Services,Real Estate Investment Trusts,12.84,N/A,2.463,15.81,0.97,11.23,N/A,341.59M,10.80B,28.08 - 36.77,"
</"
AGNCP,,,10.53,N/A,2.463,6,0.8,9.21,N/A,341.60M,8.87B,0.00 - 0.00,"
</"
AGYS,Consumer Non-Durables,Electronic Components,N/A,2.84,N/A,N/A,1.65,0.89,N/A,21.92M,193.80M,6.81 - 9.60,"
</"
AHGP,Energy,Coal Mining,8.25,1.02,6.12,5.39,1.9,0.92,611.60M,36.87M,1.86B,36.97 - 54.07,"
</"
AHPI,Health Care,Industrial Specialties,N/A,N/A,N/A,N/A,0.8,0.51,403.00K,8.13M,20.50M,2.44 - 3.50,"
</"
AIMC,Capital Goods,Industrial Machinery/Components,18.01,1.15,1.33,0.67,2.67,0.89,105.50M,26.89M,661.40M,14.55 - 24.76,"
</"
AINV,Finance,Closed-End Fund - Debt,7.45,2.1,1.208,8.89,1.06,5.48,N/A,202.89M,1.82B,6.55 - 9.08,"
</"
AIRM,Transportation,Transportation Services,20.22,1.11,2.162,5.34,4.6,2.04,250.70M,38.72M,1.68B,36.15 - 124.19,"
</"
AIRT,Transportation,Air Freight/Delivery Services,17.38,N/A,0.5,2.88,0.78,0.23,2.30M,2.44M,22.00M,7.76 - 9.77,"
</"
AIXG,Technology,Industrial Machinery/Components,N/A,N/A,N/A,2.39,2.07,3.67,N/A,100.79M,1.40B,11.21 - 19.44,"
</"
AKAM,Miscellaneous,Business Services,37.59,1.63,1.083,N/A,3.19,5.47,528.10M,177.47M,7.42B,25.90 - 42.53,"
</"
AKRX,Consumer Durables,Major Pharmaceuticals,44.83,1.23,0.292,N/A,6.58,5.5,79.00M,95.47M,1.22B,10.53 - 16.87,"
</"
ALCO,Consumer Non-Durables,Farming/Seeds/Milling,17.36,N/A,2.51,0.46,2.51,2.52,32.20M,7.36M,322.40M,21.06 - 45.16,"
</"
ALCS,,,194.05,N/A,0.042,N/A,0.27,0.05,10.60M,3.26M,27.60M,0.00 - 0.00,"
</"
ALGN,Health Care,Industrial Specialties,44.17,1.31,0.71,N/A,4.37,4.54,138.90M,81.03M,2.58B,23.45 - 39.82,"
</"
ALGT,Transportation,Air Freight/Delivery Services,18.34,0.5,4.06,2.69,3.36,1.57,186.80M,19.16M,1.43B,47.32 - 78.85,"
</"
ALIM,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,5.23,N/A,N/A,31.53M,74.10M,1.26 - 4.90,"
</"
ALKS,Consumer Durables,Major Pharmaceuticals,N/A,0.55,N/A,N/A,3.43,5.71,125.50M,131.94M,2.87B,14.82 - 23.36,"
</"
ALLB,Finance,Savings Institutions,26.62,N/A,0.48,1.56,0.87,4.6,N/A,5.44M,70.90M,11.10 - 12.94,"
</"
ALLT,Technology,Computer Communications Equipment,37.17,0.84,0.371,N/A,2.47,4.43,15.60M,32.26M,446.80M,13.15 - 29.05,"
</"
ALNC,Finance,Major Banks,23.23,2.81,1.92,2.82,1.45,3.64,N/A,4.78M,215.50M,28.55 - 46.39,"
</"
ALNY,Consumer Durables,Major Pharmaceuticals,N/A,1.66,N/A,N/A,7.13,16.07,N/A,52.43M,1.27B,9.51 - 25.00,"
</"
ALOG,Capital Goods,Electrical Products,22.09,2.03,3.449,0.53,2.06,1.8,57.60M,12.23M,941.50M,53.68 - 84.71,"
</"
ALOT,Technology,Computer peripheral equipment,18.87,N/A,0.53,2.8,1.29,0.93,7.70M,7.34M,74.90M,7.50 - 10.45,"
</"
ALRN,Health Care,Medical/Nursing Services,N/A,N/A,N/A,N/A,0.71,0.72,N/A,5.00M,2.50M,0.36 - 1.96,"
</"
ALSK,Public Utilities,Telecommunications Equipment,7.39,N/A,0.238,8.52,N/A,0.22,109.80M,45.66M,81.27M,1.73 - 3.73,"
</"
ALTE,Finance,Property-Casualty Insurers,13.76,2.64,2.214,1.97,1,1.77,259.00M,95.97M,2.93B,21.08 - 30.52,"
</"
ALTI,Basic Industries,Major Chemicals,N/A,N/A,N/A,N/A,0.61,10.13,N/A,11.60M,25.40M,0.40 - 2.74,"
</"
ALTR,Technology,Semiconductors,19.43,1.8,1.72,1.08,3.2,5.99,628.10M,319.57M,11.02B,29.59 - 41.63,"
</"
ALVR,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.65,0.24,N/A,62.55M,34.40M,0.31 - 1.34,"
</"
ALXA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,6.51,12.79,N/A,15.68M,64.90M,2.55 - 7.90,"
</"
ALXN,Consumer Durables,Major Pharmaceuticals,83.18,1.22,1.13,N/A,9.75,17.54,384.60M,194.29M,19.01B,75.04 - 119.54,"
</"
AMAG,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.96,4.32,N/A,21.41M,348.60M,12.43 - 18.50,"
</"
AMAP,Technology,Computer Software: Prepackaged Software,17.39,0.72,0.686,N/A,1.96,3.78,47.30M,47.82M,563.80M,9.38 - 13.54,"
</"
AMAT,Technology,Semiconductors,150.12,2.66,0.086,2.01,2.14,1.77,1.52B,1.20B,15.77B,9.95 - 13.94,"
</"
AMBA,,,17.6,N/A,0.566,N/A,2.55,2.28,19.90M,26.10M,273.50M,0.00 - 0.00,"
</"
AMBT,,,N/A,N/A,N/A,N/A,3.18,0.92,N/A,16.65M,47.30M,2.76 - 9.75,"
</"
AMCC,Technology,Semiconductors,N/A,N/A,N/A,N/A,6.16,3.01,N/A,66.11M,564.60M,4.28 - 9.64,"
</"
AMCF,Energy,Oil Refining/Marketing,N/A,N/A,N/A,N/A,0.12,0.03,2.00M,9.57M,6.60M,0.45 - 3.63,"
</"
AMCN,Technology,Advertising,N/A,1.22,N/A,N/A,0.61,0.5,23.20M,62.04M,139.60M,1.33 - 3.55,"
</"
AMCX,,,27.15,1.19,2.098,N/A,N/A,3.08,479.40M,71.70M,4.20B,34.78 - 61.32,"
</"
AMED,Health Care,Medical/Nursing Services,12.06,0.75,0.922,N/A,0.63,0.23,104.70M,30.94M,351.20M,9.51 - 15.95,"
</"
AMGN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),15.48,1.14,5.52,1.68,3.39,3.74,7.23B,756.00M,65.24B,65.37 - 90.81,"
</"
AMIC,Finance,Accident &Health Insurance,13.9,N/A,0.349,N/A,0.41,0.43,5.80M,8.27M,40.20M,3.67 - 6.68,"
</"
AMKR,Technology,Semiconductors,15.23,1.22,0.304,N/A,1.08,0.26,525.10M,152.75M,739.30M,3.65 - 6.78,"
</"
AMNB,Finance,Major Banks,9.92,3.19,2.04,4.55,0.97,2.69,N/A,7.84M,161.90M,18.50 - 24.00,"
</"
AMOT,Capital Goods,Electrical Products,8.33,N/A,0.809,1.48,1.42,0.55,10.00M,8.66M,59.30M,5.60 - 8.25,"
</"
AMOV,Public Utilities,Telecommunications Equipment,13.48,N/A,1.86,1.21,4.16,1.72,19.88B,3.80B,97.17B,21.48 - 28.34,"
</"
AMPE,,,N/A,N/A,N/A,N/A,5.16,2760.87,N/A,37.02M,142.90M,2.54 - 6.25,"
</"
AMPL,Finance,Finance/Investors Services,N/A,N/A,N/A,N/A,N/A,0.01,19.50M,2.81M,7.00M,0.91 - 9.20,"
</"
AMRB,Finance,Major Banks,21.5,1.35,0.34,N/A,0.75,3.39,N/A,9.67M,70.60M,5.87 - 8.31,"
</"
AMRI,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,3.65,N/A,N/A,0.89,0.88,18.10M,30.41M,184.30M,2.25 - 6.27,"
</"
AMRN,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,149.94M,1.27B,7.01 - 15.96,"
</"
AMRS,Basic Industries,Major Chemicals,N/A,N/A,N/A,N/A,2.33,1.65,N/A,59.44M,190.20M,1.57 - 10.56,"
</"
AMSC,Consumer Durables,Metal Fabrications,N/A,N/A,N/A,N/A,1,1.5,N/A,54.53M,145.60M,2.40 - 6.05,"
</"
AMSF,Finance,Property-Casualty Insurers,18.95,2.13,1.511,N/A,1.4,1.68,35.80M,18.17M,519.60M,21.56 - 29.31,"
</"
AMSG,Health Care,Medical/Nursing Services,16.62,1.01,1.878,N/A,1.49,1.08,306.60M,31.68M,989.30M,24.80 - 32.17,"
</"
AMSWA,Technology,Computer Software: Prepackaged Software,23.06,2.25,0.373,7.67,2.75,2.21,17.50M,27.17M,238.30M,7.16 - 9.62,"
</"
AMWD,Basic Industries,Forest Products,N/A,8.91,N/A,N/A,2.99,0.72,10.30M,14.54M,410.10M,13.19 - 29.28,"
</"
AMZN,Consumer Services,Catalog/Specialty Distribution,N/A,4.73,N/A,N/A,14.71,1.97,2.84B,453.96M,120.30B,175.14 - 284.72,"
</"
ANAC,Consumer Durables,Major Pharmaceuticals,N/A,0.14,N/A,N/A,N/A,14.12,N/A,35.57M,138.00M,3.89 - 7.55,"
</"
ANAD,Technology,Semiconductors,N/A,N/A,N/A,N/A,1.54,1.55,N/A,71.31M,190.40M,1.05 - 3.22,"
</"
ANAT,Finance,Life Insurance,11.33,N/A,6.817,3.99,0.54,0.68,277.70M,26.65M,2.09B,63.68 - 79.21,"
</"
ANCB,Finance,Banks,90.12,N/A,0.166,N/A,0.68,1.9,N/A,2.46M,36.39M,8.25 - 16.23,"
</"
ANCI,Health Care,Hospital/Nursing Management,N/A,N/A,N/A,N/A,0.92,0.29,N/A,5.73M,11.00M,1.35 - 2.10,"
</"
ANCX,Finance,Savings Institutions,9.07,1.32,1.71,1.61,1.75,1.89,N/A,10.32M,159.60M,9.80 - 15.72,"
</"
ANDA,,,N/A,N/A,N/A,N/A,2.86,N/A,N/A,1.58M,15.70M,0.00 - 0.00,"
</"
ANDAU,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ANDAW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
ANDE,Consumer Services,Farming/Seeds/Milling,10.25,0.44,4.6,1.29,1.49,0.18,160.90M,18.53M,870.70M,35.16 - 51.50,"
</"
ANEN,Technology,Radio And Television Broadcasting And Communications Equipment,24.31,1.07,0.805,N/A,1.41,1.66,23.90M,12.70M,251.50M,16.20 - 20.87,"
</"
ANGI,,,N/A,N/A,N/A,N/A,418.33,5.29,N/A,57.81M,737.70M,8.94 - 19.82,"
</"
ANGO,Health Care,Medical/Dental Instruments,N/A,2.05,N/A,N/A,0.81,1.52,35.00M,34.83M,431.60M,10.00 - 13.67,"
</"
ANIK,Health Care,Medical/Dental Instruments,14.77,0.46,0.719,N/A,1.37,2.1,21.30M,13.31M,143.60M,9.13 - 17.70,"
</"
ANLY,Technology,EDP Services,13.31,N/A,0.266,N/A,0.96,0.17,2.20M,5.09M,17.80M,2.74 - 7.30,"
</"
ANNB,Finance,Major Banks,17.76,N/A,0.727,N/A,1.6,2.96,N/A,3.98M,52.90M,3.85 - 13.05,"
</"
ANSS,Technology,Computer Software: Prepackaged Software,35.9,1.75,2.05,N/A,3.59,8.79,368.50M,92.64M,6.89B,55.45 - 74.47,"
</"
ANTH,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,9.57,N/A,N/A,79.13M,52.23M,0.58 - 8.42,"
</"
ANTP,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,N/A,N/A,N/A,0.75,0.64,N/A,2.34M,4.10M,1.70 - 2.83,"
</"
AOSL,Technology,Semiconductors,10.01,N/A,0.81,N/A,0.7,0.57,53.60M,25.40M,211.80M,6.95 - 10.70,"
</"
APAGF,Energy,Oil & Gas Production,8.96,N/A,1.454,0.15,1.32,2.97,52.50M,29.44M,400.40M,8.88 - 82.45,"
</"
APEI,Consumer Services,Other Consumer Services,16.59,1.09,2.322,N/A,4.37,2.24,77.90M,17.65M,674.90M,24.88 - 44.37,"
</"
APFC,Basic Industries,Major Chemicals,5.96,N/A,3.301,N/A,2.22,0.82,40.10M,7.73M,150.60M,7.20 - 20.49,"
</"
APKT,Technology,Computer Communications Equipment,298.4,4.04,0.081,N/A,3.38,5.69,28.40M,67.45M,1.61B,13.26 - 36.27,"
</"
APOG,Capital Goods,Auto Parts:O.E.M.,39.25,4.37,0.623,1.1,2.11,1.01,48.70M,28.48M,708.30M,12.17 - 25.69,"
</"
APOL,Consumer Services,Other Consumer Services,5.82,0.77,3.473,N/A,2.23,0.55,856.30M,112.55M,2.25B,18.36 - 54.38,"
</"
APPY,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,N/A,N/A,N/A,N/A,1.97,202.96,N/A,7.73M,18.00M,1.18 - 6.54,"
</"
APRI,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,3.32,12.79,N/A,29.90M,86.70M,1.89 - 5.06,"
</"
APSA,Consumer Services,Building operators,14.66,N/A,1.08,13.72,2.64,2.43,153.60M,31.50M,500.80M,10.25 - 21.26,"
</"
APWC,Basic Industries,Telecommunications Equipment,N/A,N/A,N/A,N/A,0.37,0.14,19.90M,13.82M,56.80M,2.25 - 4.50,"
</"
AQUUU,,,N/A,N/A,N/A,N/A,590,N/A,N/A,6.59M,66.10M,0.00 - 0.00,"
</"
ARAY,Health Care,Medical/Dental Instruments,N/A,0.03,N/A,N/A,2.13,0.94,N/A,72.27M,363.50M,4.74 - 8.07,"
</"
ARCC,Finance,Closed-End Fund - Debt,N/A,1.54,N/A,8.93,N/A,N/A,N/A,N/A,N/A,14.60 - 18.00,"
</"
ARCI,Consumer Services,Home Furnishings,N/A,N/A,N/A,N/A,0.62,0.07,704.00K,5.58M,8.60M,1.10 - 6.29,"
</"
ARCP,,,N/A,N/A,N/A,6.6,1.67,10.67,8.60M,10.94M,147.60M,9.77 - 14.24,"
</"
ARCT,,,N/A,N/A,N/A,N/A,2.04,11.42,131.80M,158.49M,2.06B,0.00 - 0.00,"
</"
ARCW,Consumer Services,Telecommunications Equipment,10.13,N/A,0.594,N/A,1.59,0.91,6.50M,5.66M,34.10M,2.21 - 7.96,"
</"
ARDNA,Consumer Services,Food Chains,16.7,N/A,5.606,22.44,2.81,0.66,35.50M,3.07M,287.10M,79.76 - 113.90,"
</"
AREX,Energy,Oil & Gas Production,N/A,8.31,N/A,N/A,1.46,7.29,72.40M,34.19M,923.10M,22.36 - 39.18,"
</"
ARIA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,20.1,5895.28,N/A,166.63M,3.32B,13.92 - 25.40,"
</"
ARII,Capital Goods,Railroads,19,0.94,2.07,0.64,2.4,1.2,117.40M,21.35M,838.50M,20.26 - 39.54,"
</"
ARKR,Consumer Services,Restaurants,10.69,N/A,1.642,5.7,1.75,0.41,14.50M,3.25M,57.40M,13.86 - 17.69,"
</"
ARLP,Energy,Coal Mining,10.46,7.61,6.12,4.96,2.41,1.16,611.60M,36.87M,2.36B,50.42 - 78.90,"
</"
ARMH,Technology,Semiconductors,78.21,2.6,0.525,0.43,10.07,21.32,340.20M,459.36M,19.52B,21.64 - 42.55,"
</"
ARNA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,15.65,66.22,N/A,217.25M,1.86B,1.70 - 13.50,"
</"
AROW,Finance,Major Banks,13.21,1.94,1.847,4.04,1.67,3.51,N/A,12.02M,298.80M,22.86 - 27.15,"
</"
ARQL,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.85,3.3,N/A,62.34M,162.71M,1.98 - 8.32,"
</"
ARRS,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,2.03,N/A,N/A,2.02,1.45,147.30M,113.40M,1.86B,10.74 - 16.93,"
</"
ARRY,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,4.56,N/A,95.40M,360.60M,2.55 - 6.17,"
</"
ARTC,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,505.97,2.15,0.072,N/A,2.9,2.79,25.20M,27.87M,1.02B,23.54 - 36.99,"
</"
ARTNA,Public Utilities,Water Supply,20.03,4.98,1.131,3.5,1.7,2.83,30.30M,8.70M,195.40M,18.28 - 24.43,"
</"
ARTW,Capital Goods,Industrial Machinery/Components,10.91,N/A,0.628,1.46,1.63,0.78,4.90M,4.03M,29.00M,5.23 - 9.69,"
</"
ARTX,Energy,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.45,0.22,945.00K,15.32M,16.70M,0.71 - 1.39,"
</"
ARUN,Technology,Computer peripheral equipment,N/A,1.85,N/A,N/A,5.32,4.78,33.90M,112.45M,2.63B,12.36 - 25.00,"
</"
ARWR,Health Care,Biotechnology: Commercial Physical & Biological Resarch,N/A,N/A,N/A,N/A,2.63,206.64,N/A,15.65M,29.90M,1.85 - 7.31,"
</"
ASBB,,,N/A,N/A,N/A,N/A,0.72,3.71,N/A,5.17M,85.00M,11.50 - 16.99,"
</"
ASBC,Finance,Major Banks,14.27,2.26,1,1.61,0.84,2.58,N/A,169.31M,2.43B,11.67 - 14.73,"
</"
